"customer_state","total_orders","late_deliveries","late_delivery_pct","avg_delivery_days"
"AL",397,95,23.93,24.5
"MA",717,141,19.67,21.6
"PI",476,76,15.97,19.5
"CE",1279,196,15.32,21.3
"SE",335,51,15.22,21.5
"BA",3256,457,14.04,19.3
"RJ",12350,1664,13.47,15.3
"TO",274,35,12.77,17.7
"PA",946,117,12.37,23.8
"ES",1995,244,12.23,15.8
"MS",701,81,11.55,15.6
"PB",517,57,11.03,20.4
"PE",1593,172,10.80,18.4
"RN",474,51,10.76,19.3
"SC",3546,346,9.76,15.0
"GO",1957,160,8.18,15.6
"RS",5344,382,7.15,15.3
"DF",2080,147,7.07,13.0
"MT",886,60,6.77,18.1
"SP",40494,2387,5.89,8.8
"MG",11354,637,5.61,12.0
"PR",4923,246,5.00,12.0
"AP",67,3,4.48,27.2
"AM",145,6,4.14,26.4
"AC",80,3,3.75,21.0
"RO",243,7,2.88,19.4
